TIME;Pernoctaciones
2000-01;5257276
2000-02;5018447
2000-03;5671223
2000-04;5840335
2000-05;6545055
2000-06;8313843
2000-07;13186048
2000-08;13646902
2000-09;8823651
2000-10;7603716
2000-11;5190694
2000-12;5037769
2001-01;5157052
2001-02;5336699
2001-03;5675220
2001-04;5728036
2001-05;6564883
2001-06;8236099
2001-07;13193593
2001-08;13070932
2001-09;8587320
2001-10;6890967
2001-11;5062736
2001-12;4878116
2002-01;5165911
2002-02;5046471
2002-03;5813897
2002-04;4980439
2002-05;6282741
2002-06;7704098
2002-07;12741822
2002-08;13579742
2002-09;7990738
2002-10;6654990
2002-11;4760613
2002-12;4715764
2003-01;5085641
2003-02;4735034
2003-03;5447203
2003-04;5293804
2003-05;5820311
2003-06;7398594
2003-07;12110359
2003-08;12968420
2003-09;7482558
2003-10;6341452
2003-11;4584203
2003-12;4654763
2004-01;4948205
2004-02;4764780
2004-03;5191194
2004-04;4729723
2004-05;5183345
2004-06;6508197
2004-07;10681444
2004-08;11819861
2004-09;6881026
2004-10;5706438
2004-11;4223668
2004-12;4252279
2005-01;4736732
2005-02;4371833
2005-03;4870464
2005-04;3861481
2005-05;4867511
2005-06;5933501
2005-07;10585157
2005-08;11464251
2005-09;6728132
2005-10;5630030
2005-11;4249539
2005-12;4106299
2006-01;4476119
2006-02;4374300
2006-03;4893156
2006-04;4478704
2006-05;4963871
2006-06;6325184
2006-07;10825498
2006-08;11516699
2006-09;6771057
2006-10;5512521
2006-11;4228249
2006-12;4238947
2007-01;4673285
2007-02;4464814
2007-03;4942629
2007-04;4212217
2007-05;4918411
2007-06;6212214
2007-07;10257159
2007-08;10897401
2007-09;6418017
2007-10;5336102
2007-11;3995851
2007-12;4034214
2008-01;4513110
2008-02;4566277
2008-03;4846960
2008-04;3924352
2008-05;4910044
2008-06;6022719
2008-07;10416777
2008-08;10593467
2008-09;6080507
2008-10;4865407
2008-11;3846396
2008-12;3823012
2009-01;3992485
2009-02;3848980
2009-03;4078646
2009-04;3637752
2009-05;4033036
2009-06;4928274
2009-07;8872921
2009-08;9615324
2009-09;5252069
2009-10;4089077
2009-11;3466765
2009-12;3508465
2010-01;3629455
2010-02;3700693
2010-03;4047038
2010-04;3297031
2010-05;4186872
2010-06;5151442
2010-07;9218923
2010-08;10057439
2010-09;5652017
2010-10;4358419
2010-11;3425420
2010-12;3292560
2011-01;3738813
2011-02;3790749
2011-03;4192920
2011-04;3963186
2011-05;4171976
2011-06;5594667
2011-07;9607187
2011-08;10706842
2011-09;6198064
2011-10;4650210
2011-11;3714894
2011-12;3584601
2012-01;3910061
2012-02;3914208
2012-03;4114674
2012-04;3539528
2012-05;4225773
2012-06;5687330
2012-07;10024675
2012-08;10799991
2012-09;6442795
2012-10;4748659
2012-11;3733111
2012-12;3689898
2013-01;3865369
2013-02;3835991
2013-03;4276397
2013-04;3707316
2013-05;5012761
2013-06;6087573
2013-07;10157045
2013-08;10877494
2013-09;6513588
2013-10;5006169
2013-11;3884698
2013-12;3827132
2014-01;4172230
2014-02;4037421
2014-03;4488359
2014-04;4215302
2014-05;4998985
2014-06;6252875
2014-07;9873995
2014-08;11380059
2014-09;6814144
2014-10;5260887
2014-11;3840898
2014-12;3781758
2015-01;4028995
2015-02;4024689
2015-03;4370142
2015-04;4324937
2015-05;5048820
2015-06;6333781
2015-07;10484409
2015-08;11648147
2015-09;7114613
2015-10;5738051
2015-11;4109382
2015-12;3988456
2016-01;4296869
2016-02;4471245
2016-03;4899930
2016-04;4735275
2016-05;5955982
2016-06;7163969
2016-07;11022233
2016-08;12362694
2016-09;7745374
2016-10;6374515
2016-11;4360553
2016-12;4237979
2017-01;4599111
2017-02;4569462
2017-03;4940405
2017-04;5454096
2017-05;6327656
2017-06;7859785
2017-07;11509257
2017-08;12600477
2017-09;8163121
2017-10;6502905
2017-11;4436911
2017-12;4191000
2018-01;4484126
2018-02;4475419
2018-03;4951445
2018-04;4958089
2018-05;6274544
2018-06;7389369
2018-07;10826359
2018-08;11932426
2018-09;7632346
2018-10;6298188
2018-11;4227453
2018-12;4091684
2019-01;4303008
2019-02;4276924
2019-03;4787343
2019-04;4932152
2019-05;5891503
2019-06;7394769
2019-07;10528074
2019-08;11795992
2019-09;7644198
2019-10;5933838
2019-11;4103339
2019-12;4114637
